Si_2019,Concentration,Or13a,Or1a,Or22c,Or24a,Or30a,Or33a,Or35a,Or42a,Or42b,Or45a,Or45b,Or47a-33b,Or49a,Or59a,Or63a,Or67b,Or74a,Or82a,Or83a,Or85c,Or94a-94b
,,,,,,,,,,,,,,,,,,,,,,
RawAvg_Amax_geranyl acetate,,0,0.41993398,0,1.64765,0,0,0,0,0.75072523,3.78542311,0,1.69059216,0,0,0,0,0,2.44589876,0,0,0
RawAvg_Amax_anisole,,0,0.756128571,4.40999514,0.610099,4.53609268,0,0.387985714,0,0,0.375855714,4.97547506,0.622457143,0,5.13788798,0,0.7435,0,0,0,0,3.64184046
RawAvg_Amax_2-heptanone,,3.81447524,0.145087426,0.31163482,0.131556947,0,0,3.06054154,3.02330613,0,2.97183296,0,3.75672957,0,0,0,1.9912986,0.654214782,0.552663127,0.225078743,3.64954653,0
RawAvg_Amax_menthol,,0,1.748417023,0.032454808,0.09517936,0,0,0,0,0.555689619,0,1.150288716,0.033113132,2.47659548,0.052208677,2.217945641,0,0.374399858,0,0,0,0.462687521
RawAvg_Amax_methyl salicylate,,0.116771677,4.950858563,5.056751891,2.99729942,0,0,0,0,0,0,0.147338937,0.046758588,0,1.040852832,4.725958143,0,0,0,0,3.084998769,0.050594764
RawAvg_Amax_benzaldehyde,,0.064526734,0.923208939,1.565834137,2.946139017,3.138690498,0,2.59630186,0.199911613,0,0,4.1692106,0.098108198,0,0,1.307731684,1.196863488,0.647746122,0.085831618,2.051395677,0,0.068134098
RawAvg_Amax_acetal,,0,0,0,0,0,0,0,0,6.184957143,0.573457143,0,0,0,0,0,0,0.312332143,0,0,0,0
RawAvg_Amax_methyl phenyl sulfide,,0,1.8779,2.471833333,4.734366667,4.459733333,0,0.0523,0,0,0,4.104866667,1.29165,0,0.630016667,0,3.249666667,0,0,0,0,0.77445
,,,,,,,,,,,,,,,,,,,,,,
Si_forcedECs_geranyl acetate,,0,-2.696049702,0,-4.006400293,0,0,0,0,-3.19171547,-5.818581149,0,0,0,0,0,0,0,-6.856392473,0,0,0
Si_forcedECs_anisole,,0,-3.222653566,-4.456953975,-5.895341808,-5.001139443,0,-2.891865198,0,0,-3.05496045,-4.647488928,-3.291356939,0,-4.148984473,0,-3.162780731,0,0,0,0,-3.71468978
Si_forcedECs_2-heptanone,,-5.446296153,-2.627554014,0,0,0,0,-6.099818203,-5.501578226,0,-4.727656685,0,-5.704059104,0,0,0,-5.119311046,0,-2.911510788,-2.541994908,-9.045278426,0
Si_forcedECs_menthol,,0,-4.299370494,0,0,0,0,0,0,-3.049365168,0,-3.598188618,0,-5.625218946,0,-5.107630221,0,0,0,0,0,0
Si_forcedECs_methyl salicylate,,0,-5.144258536,-8.850668605,-6.634014276,0,0,0,0,0,0,0,0,0,-3.126140066,-5.405102879,0,0,0,0,-6.191567524,-1.374171987
Si_forcedECs_benzaldehyde,,0,-3.615758617,-3.806580701,-6.381210381,-4.845554483,0,0,-2.613003582,0,0,-6.204351552,0,0,0,-5.06963432,-3.633047007,0,0,-3.982237628,0,0
Si_forcedECs_acetal,,0,0,0,0,0,0,0,0,-4.649502783,-3.081970521,0,0,0,0,0,0,-2.655797861,0,0,0,0
Si_forcedECs_methyl phenyl sulfide,,0,-3.822533945,-6.357123772,-7.501067731,-5.463927112,0,0,0,0,0,-5.921416157,0,0,-3.209285943,0,-4.63960799,0,0,0,0,0
